업종,상호명,대표자,도로명주소,지번주소,위도,경도,전화번호,기준일
한식,예전각전복설렁탕,이승재,경기도 수원시 장안구 경수대로 813(영화동),경기도 수원시 장안구 영화동 97-9,37.29416364,127.0169604,245-2003,2021-04-06
한식,대박식당,안현웅,경기도 수원시 장안구 대평로 80 (정자동),경기도 수원시 장안구 정자동 877-4,37.29553643,126.9936207,268-8782,2021-04-06
한식,명동돈까스,최영수,경기도 수원시 장안구 서부로2106번길 17(율전동),경기도 수원시 장안구 율전동 433-66,37.29700215,126.9712132,297-7774,2021-04-06
한식,착한순대국,송화섭,경기도 수원시 장안구 월드컵로428번길 9(연무동),경기도 수원시 장안구 연무동 250-18,37.29413737,127.0257368,297-6535,2021-04-06
한식,다원사뎅이,유금남,경기도 수원시 장안구 조원로89번길 13(조원동),경기도 수원시 장안구 조원동 742-23,37.30035669,127.0153945,251-3009,2021-04-06
한식,시골밥집,손연우,경기도 수원시 장안구 파장로76번길 25 (파장동),경기도 수원시 장안구 파장동 579-26,37.30713591,126.9933382,257-6717,2021-04-06
한식,풍년집,정용진,경기도 수원시 장안구 팔달로271번길 40 (영화동),경기도 수원시 장안구 영화동 275-7,37.29115949,127.013523,243-8237,2021-04-06
세탁업,동남세탁소,우상숙,경기도 수원시 장안구 만석로101번길 46 (정자동),경기도 수원시 장안구 정자동 327-12,37.30074392,126.9913778,253-1414,2021-04-06
이미용업,전미래헤어월드,전인기,경기도 수원시 장안구 수성로304번길 19(영화동),경기도 수원시 장안구 영화동 388-17,37.29054577,127.0062252,252-3641,2021-04-06
이미용업,컷트클럽,안인순,경기도 수원시 장안구 조원로 100,경기도 수원시 장안구 조원동 733-16,37.3016006,127.015159,246-6306,2021-04-06
이미용업,주은헤어,맹순옥,경기도 수원시 장안구 장안로217번길 14 범아상가 107호(정자동),,,,271-4082,2021-04-06
이미용업,문화미용실,변호자,경기도 수원시 장안구 정조로934번길 29-18(영화동),경기도 수원시 장안구 영화동 293-30,37.29237018,127.0137973,256-1463,2021-04-06
이미용업,현지미용실,이복순,경기도 수원시 장안구 창훈로19번길 12-1(연무동),경기도 수원시 장안구 연무동 228-34,37.29420333,127.0299442,252-8940,2021-04-06
이미용업,닛시헤어필,김남옥,경기도 수원시 장안구 파장로21번길 27(송죽동),경기도 수원시 장안구 송죽동 491-1,37.3033791,126.9973996,257-1411,2021-04-06
이미용업,헤어디자인클럽,유명숙,경기도 수원시 장안구 파장천로25번길 9(파장동),경기도 수원시 장안구 파장동 583-8,37.30796564,126.994467,246-7798,2021-04-06
이미용업,모아미용실,이은숙,경기도 수원시 장안구 화산로285번길 18-20 화남아파트상가(율전동),,,,295-4005,2021-04-06
이미용업,현대미용실,이도화,경기도 수원시 장안구 파장로68번길 10(파장동),경기도 수원시 장안구 파장동 582-25,37.3063766,126.9932577,252-9986,2021-04-06
한식,똘똘이네M카페,유명화,경기도 수원시 권선구 고색로54번길66(고색동),경기도 수원시 권선구 고색동 299-8,37.24741593,126.9837683,278-5081,2021-04-06
한식,산천칡냉면 부대찌개,안중미,경기도 수원시 권선구 매송고색로699번길10-1(고색동),경기도 수원시 권선구 고색동 890-5,37.25153827,126.9811351,296-5648,2021-04-06
한식,가능골식당,박윤임,경기도 수원시 권선구 세지로42번길 49 (세류동),경기도 수원시 권선구 세류동 1082-9,37.25517773,127.0190861,223-1620,2021-04-06
한식,한우돈가,오숭성,경기도 수원시 권선구 효탑로 51(탑동),경기도 수원시 권선구 탑동 430-2,37.26806538,126.9727988,296-8592,2021-04-06
세탁업,정우세탁소,홍재도,경기도 수원시 권선구 당수로 213(당수동),경기도 수원시 권선구 당수동 224-19,37.29090532,126.9441163,416-5326,2021-04-06
세탁업,대우세탁소,이진우,"경기도 수원시 권선구 동탄원천로813번길 16,105호(권선동,대우아파트상가)",경기도 수원시 권선구 권선동 1305,37.24853085,127.0388384,221-4472,2021-04-06
세탁업,현대명품세탁소,김삼수,경기도 수원시 권선구 세권로316번길 49(세류동),경기도 수원시 권선구 권선동 1306,37.24936098,127.0374412,226-4701,2021-04-06
이미용업,꽃씨미용실,김낙삼,경기도 수원시 권선구 금호로15번길 12(금곡동),경기도 수원시 권선구 금곡동 245-68,37.26924978,126.9536248,297-6106,2021-04-06
이미용업,이은희헤어,이은희,경기도 수원시 권선구 세지로27번길 13(세류동),경기도 수원시 권선구 세류동 1012-7,37.25496082,127.014872,070-4001-0404,2021-04-06
이미용업,서현대미용실,이광미,경기도 수원시 권선구 정조로576번길 3(세류동),경기도 수원시 권선구 세류동 162-15,37.26040554,127.013461,232-6686,2021-04-06
이미용업,단발머리,황미화,경기도 수원시 권선구 세권로77번길 17(세류동),경기도 수원시 권선구 세류동 513-9,37.25934332,127.0133183,,2021-04-06
한식,영풍생고기,이진희,경기도 수원시 팔달구 권광로276번길 9(인계동),경기도 수원시 팔달구 인계동 371-1,37.27246652,127.0365299,214-3326,2021-04-06
