업종명,업소명,소재지(도로명),소재지전화
일반음식점,권家(가)밥상,경기도 하남시 감초로 45 (감북동),031 -470 -9001
일반음식점,현풍 닭 칼국수,"경기도 하남시 덕풍동로 111-33, 1층 112호 (덕풍동)",031 -795 -0909
일반음식점,또봉이통닭 덕풍점,"경기도 하남시 덕풍동로 113, 1층 103호 (덕풍동)",031 -796 -1509
일반음식점,강창구 찹쌀진순대,"경기도 하남시 덕풍동로 119, 1층 101,102호 (덕풍동)",031 -795 -8653
일반음식점,희노애락포차,"경기도 하남시 수리북로 29, 107호 (덕풍동)", 031-792 -3945
일반음식점,청진동 해장국(미사점),"경기도 하남시 미사강변대로226번길 26, 108호 (망월동)",031 -795 -0888
일반음식점,매워도 가고픈 떡볶이,"경기도 하남시 미사강변한강로158번길 40, 103호 (망월동)",031 -794 -0703
일반음식점,광주집,"경기도 하남시 신장1로15번길 58, 1층 (신장동)",031 -791 -8917
일반음식점,마왕족발,"경기도 하남시 신장로 195, 1층 (덕풍동)",031 -792 -9695
일반음식점,후라이드 참 잘하는집 하남점,"경기도 하남시 하남대로801번길 33, 1층 (신장동)",031 -793 -7992
일반음식점,고구려짬뽕10101하남점,"경기도 하남시 하남대로 537, 1,2층 (천현동)",031 -793 -7187
일반음식점,팔당포차,"경기도 하남시 검단산로 348, 1층 (창우동)", 031- 794-1080
일반음식점,하남명품알찜&코다리,"경기도 하남시 검단산로 261-12, 1층 (창우동)",031 -795 -9882
일반음식점,국민닭발,"경기도 하남시 덕풍동로 111-15, 102호 (덕풍동)",031 -796 -5119
일반음식점,바질12,"경기도 하남시 미사강변한강로220번길 48, 1층 (망월동)", 031-7969-5833
일반음식점,샘터가든,"경기도 하남시 학암로 49, 101호 (감이동)",  02- 408-6364
일반음식점,미사한돈한우정육식당,"경기도 하남시 미사강변대로226번길 26, 201호 (망월동)",031 -796 -9228
일반음식점,마루,"경기도 하남시 신장로136번길 12, 1층 (덕풍동)",031 -791 -6705
일반음식점,블랙빈(BLACK BEAN),"경기도 하남시 미사강변한강로158번길 40, 1층 (망월동)",031 -973 -0079
일반음식점,형제식당,"경기도 하남시 신장1로9번길 39, 1층 (신장동)",031 -795 -2011
일반음식점,나뭇길 카페,"경기도 하남시 대성로 33, 1층 (항동)", 070-8745-2104
일반음식점,송추가마골 미사지점,"경기도 하남시 미사대로 438, 2층 (망월동)", 031- 794-9566
일반음식점,시골여행,"경기도 하남시 미사강변중앙로 219, 205호 (망월동, LAKE HILL 레이크힐)", 031- 791-5838
일반음식점,쌈쟁이,"경기도 하남시 대청로 15, 207호 (신장동, 오피스텔트레벨)",031 -792 -4000
일반음식점,호세야,"경기도 하남시 미사강변한강로158번길 134, 1층 (망월동, 로사펠리스)",031 -792 -0443
일반음식점,독도쭈꾸미,"경기도 하남시 미사강변한강로158번안길 7, 1층 (망월동, Soo haus)",031 -795 -7186
일반음식점,또래오래 미사1점,"경기도 하남시 미사강변서로 45, 상가307동 116호 (풍산동, 미사강변동원로얄듀크)",031 -793 -9291
일반음식점,응급실국물떡볶이하남신장점,"경기도 하남시 하남대로801번길 52, 1층 (신장동)",031 -796 -1447
일반음식점,원조감자탕닭갈비,"경기도 하남시 미사강변한강로224번안길 11, 1층 (망월동)",031 -795 -5033
일반음식점,하회탈 국수마당,"경기도 하남시 미사강변한강로220번길 9, 1층 (망월동)",031 -793 -3369
일반음식점,불닭발 땡초 동대문 엽기 떡볶이 하남신장점,"경기도 하남시 하남대로 747, 105호 (신장동)",031 -794 -8594
일반음식점,샘골민물매운탕,"경기도 하남시 미사동로40번길 20-19, 1층 (미사동)",031 -796 -8857
일반음식점,조카와 이모가 만드는 조이감자탕,"경기도 하남시 미사강변북로30번길 135, 1층 (망월동)",031 -793 -7393
일반음식점,차오차오 미사점,"경기도 하남시 미사강변중앙로 165, 204호 (망월동, 강변 신성프라자)",031 -796 -3382
일반음식점,피아커 커피(미사호수공원점),"경기도 하남시 미사강변중앙로 165, 102,112호 (망월동, 강변 신성프라자)",031 -795 -2552
일반음식점,치썸치킨 위례점,"경기도 하남시 위례중앙로 185-1, 103호 (학암동)",02  -449 -4446
일반음식점,(주)신세계푸드 데블스도어 하남점,"경기도 하남시 미사대로 750, 스타필드 하남 지하1,1층 (신장동)",031 -8072-8292
일반음식점,고봉민김밥人하남구산성지점,"경기도 하남시 미사강변한강로158번길 39, 1층 (망월동, 제이제이빌딩)",031 -793 -5677
일반음식점,소호정,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8278
일반음식점,푸주옥,"경기도 하남시 풍초로 8, 1,2층 (풍산동)",031 -796 -3982
일반음식점,강릉엄지네꼬막집 미사역점,"경기도 하남시 미사강변중앙로 173, 2층 204호 (망월동, 미사 리버에비뉴)",031 -791 -0058
일반음식점,평양면옥,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8282
일반음식점,베키아에누보,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8288
일반음식점,빵실빵실,"경기도 하남시 하남대로 747, 1층 140호 (신장동, 하남 두산위브파크)",031 -791 -1880
일반음식점,예가족발,"경기도 하남시 신평로 44-1, 1층 (신장동)",031 -791 -7776
일반음식점,아오키,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8290
일반음식점,송한영의 소박사 정육점식당,"경기도 하남시 초이로99번길 49-22, 2층 (초이동)",02  -427 -8890
일반음식점,미사장어명가,"경기도 하남시 신평로168번길 12-14, 1층 (신장동)",031 -793 -8520
일반음식점,FAUCHON(포숑),"경기도 하남시 미사대로 750, 스타필드 하남 1층 (신장동)",031 -8072-8331
일반음식점,비비큐 미사점,"경기도 하남시 미사강변대로 212, 1층 120호 (망월동, 미사센트럴프라자)",031 -795 -9285
일반음식점,탄탄면공방(스타필드 하남점),"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드 하남 쇼핑센터)",031 -8072-8448
일반음식점,All That Meat(올댓미트),"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드 하남 쇼핑센터)",031 -8072-8439
일반음식점,필동함박,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드 하남 쇼핑센터)",031 -8072-8433
일반음식점,핏제리 아오에스 스타필드하남,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)", 031-8072-8435
일반음식점,카사하라 앤 카츠,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)",  02- 548-3377
일반음식점,(주)시골막국수,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8441
일반음식점,일일향,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8287
일반음식점,한우리 하남점,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8280
일반음식점,교토 가츠규 하남 스타필드점,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8888
일반음식점,광화문 미진,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8279
일반음식점,한일관 하남점,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8442
일반음식점,제육대회,"경기도 하남시 미사강변중앙로 173, 202호 (망월동, 미사리버에비뉴)", 031- 793-7884
일반음식점,리틀사이공,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드 하남 쇼핑센터)",031 -8072-8444
일반음식점,에베레스트,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8289
일반음식점,신의주 순대와 쭈꾸미,"경기도 하남시 미사강변대로 212, 210호 (망월동, 미사센트럴프라자)",031 -792 -5077
일반음식점,아이엠어버거,"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드 하남 백화점 )",031 -8072-1313
일반음식점,로코스(LOCOS BBQ),"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드 하남 백화점 )",031 -8072-1326
일반음식점,핵스테이크,"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드하남 백화점)",031 -8072-1312
일반음식점,갓텐스시신세계하남점,"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드하남 백화점)",031 -8072-1331
일반음식점,황금덕장,"경기도 하남시 미사강변중앙로 161, 미사파크뷰 2층 201호 (망월동)",031 -793 -7723
일반음식점,콘타이,"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드 하남 백화점)",031 -8072-1325
일반음식점,김밥의진수 신세계백화점 하남점,"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드하남 백화점)",  02- 325-2316
일반음식점,파스타 그루브,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8436
일반음식점,메가박스중앙(주)하남스타필드점 더 부티크,"경기도 하남시 미사대로 750, 3층 (신장동, 스타필드하남 쇼핑센터)",070 -7017-9893
일반음식점,메가박스중앙(주)하남스타필드점 키즈박스,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)",070 -7017-9893
일반음식점,메가박스중앙(주)하남스타필드점,"경기도 하남시 미사대로 750, 3층 (신장동, 스타필드하남 쇼핑센터)",070 -7878-4652
일반음식점,셀렉더테이블 하남점,"경기도 하남시 미사대로 750, 3층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8823
일반음식점,치킨&비어,"경기도 하남시 미사대로 750, 3층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8825
일반음식점,대대갈비,"경기도 하남시 미사강변대로 212, 2층 201,202호 (망월동, 미사센트럴프라자)",031 -796 -5801
일반음식점,마켓로거스,"경기도 하남시 미사대로 750, 스타필드 하남 지층 B114호 (신장동)",031 -8072-8504
일반음식점,페이페이 스타필드 하남점,"경기도 하남시 미사대로 750, 지하2층 (신장동, 스타필드 하남 백화점)",031 -8072-1314
일반음식점,와츠사이클링,"경기도 하남시 미사대로 750, 지하1층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8276
일반음식점,초마 하남점,"경기도 하남시 미사대로 750, 2층 (신장동, 스타필드하남 쇼핑센터)",031 -8072-8443
일반음식점,카츠젠 미사점,"경기도 하남시 미사강변대로226번길 26, 1층 110호 (망월동, 미사원프라자)",031 -795 -1110
일반음식점,미사리 강변대게,"경기도 하남시 미사동로 86, 1층 (미사동)",031 -791 -2983
일반음식점,(주)신세계푸드 웨이브,"경기도 하남시 미사대로 750, 스타필드 하남 3층 (신장동)",031 -8072-8826
일반음식점,미사화로,"경기도 하남시 미사강변북로30번길 63, 1층 (망월동)",031 -795 -3212
일반음식점,바른치킨 미사점,"경기도 하남시 미사강변한강로220번길 36, 102호 (망월동)",031 -793 -8277
일반음식점,정대감 민물장어,"경기도 하남시 하남대로801번길 39, 1층 (신장동)",031 -792 -9992
일반음식점,뚱이네 순대국,"경기도 하남시 신장로 185, 1층 102호 (덕풍동)",031 -792 -0648
일반음식점,파파존스 미사점,"경기도 하남시 미사강변대로 212, 2층 207호 (망월동, 미사센트럴프라자)",031 -791 -8081
일반음식점,전주콩각시콩나물국밥,"경기도 하남시 미사강변대로 212, 1층 122, 123호 (망월동, 미사센트럴프라자)",031 -792 -2438
일반음식점,돌삼닭 하남점,"경기도 하남시 미사강변한강로158번안길 32, 1층 (망월동)",031 -792 -2604
일반음식점,도도브로스,"경기도 하남시 검단산로 269, 1층 (창우동)",031 -791 -6745
일반음식점,올레 닭갈비,"경기도 하남시 미사강변한강로136번길 9, 1층 (망월동)",031 -792 -9369
일반음식점,육감만족 하남미사점,"경기도 하남시 미사강변북로30번길 45, 1층 (망월동)",031 -795 -1399
일반음식점,502 푸드,"경기도 하남시 하남대로801번길 25, 1층 (신장동)",031 -794 -1544
일반음식점,전집,"경기도 하남시 하남대로784번안길 11, 1층 (신장동)",031 -792 -2850
일반음식점,포도앤 보리,"경기도 하남시 하남대로784번길 40-2, 1층 (신장동)",
일반음식점,아이러브 피자앤치킨,"경기도 하남시 미사강변대로226번길 64, 라임프라자 1층 101호 (망월동)",031 -794 -8744
일반음식점,정이네서서갈비,"경기도 하남시 위례대로 190, 1층 115,116호 (학암동, 위례효성해링턴타워)",02  -449 -5505
일반음식점,키즈필 키즈카페,"경기도 하남시 미사강변대로 228, 7층 701호 (망월동, 메디프라자)",031 -793 -9277
일반음식점,미니펍 미사강변점,"경기도 하남시 미사강변한강로158번안길 8, 1층 101호 (망월동)",031 -795 -6670
일반음식점,은혜네 민물매운탕,"경기도 하남시 신장로 89, 1층 (신장동)",031 -795 -5282
일반음식점,큰바다해물찜(미사강변점),"경기도 하남시 미사강변대로 220, 2층 203호 (망월동, 한강트윈프라자1)",031 -792 -1880
일반음식점,쿠우쿠우(하남점),"경기도 하남시 대청로 33, 8층 (신장동, 현대베스코아빌딩)",031 -796 -6274
일반음식점,망월동닭갈비,"경기도 하남시 미사강변북로24번길 21, 1층 (망월동)",031 -793 -7957
일반음식점,노랑통닭,"경기도 하남시 미사강변북로30번길 17, 1층 (망월동)",031 -795 -3455
일반음식점,투다리,"경기도 하남시 신평로61번길 13, 1층 (신장동)",031 -791 -9289
일반음식점,포몬스 하남,"경기도 하남시 하남대로 747, 1층 106, 107호 (신장동, 하남 두산위브파크)",031 -792 -4190
일반음식점,카페 보보스,"경기도 하남시 미사강변북로30번길 51, 1층 (망월동)",031 -792 -8221
일반음식점,모두의 만족,"경기도 하남시 미사강변한강로158번안길 35, 1층 (망월동)",031 -791 -7723
일반음식점,대양부양꼬치,"경기도 하남시 미사강변북로30번길 13, 1층 (망월동, 에덴빌)",031 -795 -5928
일반음식점,하나미,"경기도 하남시 미사강변북로30번안길 30, 1층 (망월동)",031 -794 -2868
일반음식점,봄봄반찬,"경기도 하남시 하남대로 782, 1층 (신장동)",031 -795 -2355
일반음식점,차오차오(하남점),"경기도 하남시 신장동로 37, 2층 (신장동, 덕풍프라자)",031 -793 -3799
일반음식점,아임홈(I'm home),"경기도 하남시 미사강변한강로158번안길 40, 1층 (망월동, concept house)",070 -8840-1143
일반음식점,오땅비어,"경기도 하남시 하남대로 747, 1층 147호 (신장동, 하남두산위브파크)",031 -792 -5898
일반음식점,닭한마리칼국수,"경기도 하남시 미사강변북로30번안길 28, 1층 (망월동)",031 -792 -5278
일반음식점,청년다방 미사강변점,"경기도 하남시 미사강변북로30번길 20, 1층 (망월동)",031 -793 -5671
일반음식점,다비움 어탕 국수,"경기도 하남시 대청로22번길 9-19, 신일빌딩 1층 (신장동)",031 -791 -9382
일반음식점,역말진순대국,"경기도 하남시 역말로 29, 1층 (덕풍동)",031 -796 -5163
일반음식점,짬뽕타임 하남점,"경기도 하남시 대성로 159, 1층 (춘궁동)",031 -795 -9099
일반음식점,평안도 찹쌀순대,"경기도 하남시 대성로 159, 1층 (춘궁동)",031 -791 -9908
일반음식점,샘재가정식백반뷔페,"경기도 하남시 샘재로 89, 1층 (천현동)",031 -796 -2796
일반음식점,노란황태 하남점,"경기도 하남시 미사강변한강로158번안길 39, 1층 (망월동)",031 -794 -7974
일반음식점,콩나라팥나라,"경기도 하남시 미사강변대로226번길 9, 1층 110호 (망월동)",031 -792 -8060
일반음식점,60계 미사점,"경기도 하남시 미사강변북로30번길 22, 101호 (망월동)",031 -795 -6882
일반음식점,제천황기명태 하남점,"경기도 하남시 천현로 100, 1층 (천현동)",031 -794 -1711
일반음식점,포폴로(이디야),"경기도 하남시 위례대로 190, 1층 113, 114호 (학암동, 위례 효성해링턴타워)",
일반음식점,청년떡볶이,"경기도 하남시 미사강변북로 65-1, 1층 105호 (선동, 미사강변 더샵 리버포레 근린생활시설)",031 -794 -9599
일반음식점,담아내기,"경기도 하남시 미사강변한강로224번안길 23, 1층 (망월동)",070 -7736-6116
일반음식점,리향(춘궁점),"경기도 하남시 서하남로 441, 1층 (춘궁동)",031 -792 -3552
일반음식점,미아리 우동,"경기도 하남시 미사강변대로226번길 9, 107호 (망월동, 송하빌딩)",031 -791 -1189
일반음식점,더램,"경기도 하남시 미사강변대로226번길 15, 2층 201, 202호 (망월동, 예스프라자포틴)",031 -794 -1599
일반음식점,(주)두메촌 정육식당,"경기도 하남시 천현로 33, 2층 (신장동)",031 -795 -2323
일반음식점,신참떡볶이 하남미사점,"경기도 하남시 미사강변서로 127-1, 103 일부호 (망월동, 미사강변도시18단지 상가1동)",031 -791 -3898
일반음식점,명동찌개마을,"경기도 하남시 미사강변대로 220, 한강트윈프라자1 2층 203호 (망월동)",031 -795 -3340
일반음식점,본도시락(하남시청점),"경기도 하남시 하남대로 747, 1층 151호 (신장동, 하남 두산위브파크)",031 -794 -4282
일반음식점,에이치베이커,"경기도 하남시 하남대로801번길 40, 1층 (신장동)",031 -795 -6858
일반음식점,치어스 (미사강변점),"경기도 하남시 미사강변중앙로 223, 1,2층 114, 207, 208호 (망월동, 센트럴파크1)",031 -796 -4508
일반음식점,전곱 하남미사점,"경기도 하남시 미사강변북로30번안길 33, 1층 (망월동)",031 -792 -0703
일반음식점,굽네치킨 미사1호점,"경기도 하남시 미사강변북로30번길 37, 1층 (망월동, (우측))",031 -795 -9294
일반음식점,미사 생고기,"경기도 하남시 미사강변북로30번안길 34, 1층 (망월동)",031 -794 -4492
일반음식점,일오삼,"경기도 하남시 미사강변한강로136번안길 14, 1층 (망월동)",031 -795 -3153
일반음식점,대왕참치,"경기도 하남시 미사강변북로30번길 130, 2층 201호 (망월동)",02  -428 -3788
일반음식점,신미,"경기도 하남시 하남대로 747, 하남두산위브파크 1층 158호 (신장동)",031 -793 -8162
일반음식점,백운양꼬치,"경기도 하남시 미사강변중앙로204번길 45, 성산타워플러스 2층 204호 (망월동)",031 -795 -9989
일반음식점,하남 신짬뽕,"경기도 하남시 대성로 133, 1층 (춘궁동)",031 -791 -7878
일반음식점,굽고 티고,"경기도 하남시 하남대로784번안길 2, 1층 (신장동)",031 -791 -9294
일반음식점,슈슈몽드,"경기도 하남시 미사동로40번길 178-35, 1층 (미사동)",031 -8027-0055
일반음식점,오늘먹자,"경기도 하남시 수리북로 21, 1층 (덕풍동)",031 -793 -3340
일반음식점,맥쓰(MEXX) 세계치킨 미사강변도시점,"경기도 하남시 미사강변중앙로 221, 114호 (망월동, 센트럴파크2 )",031 -793 -0084
일반음식점,미미한 식탁 하남미사점,"경기도 하남시 미사강변한강로220번길 9, 1층 일부호 (망월동)",031 -792 -5092
일반음식점,달려라 쌀국수,"경기도 하남시 하남대로861번길 43, 1층 (덕풍동)",031 -795 -2531
일반음식점,오형제 손짜장,"경기도 하남시 하남대로 999, 1, 2층 (풍산동)",031 -792 -6430
일반음식점,영월소머리국밥,"경기도 하남시 학암로 17, 1층 (학암동)",02  -404 -0253
일반음식점,본죽 & 비빔밥 cafe(하남미사점),"경기도 하남시 미사강변대로 216, 1층 103호 (망월동)",031 -793 -6233
일반음식점,강남차이나,"경기도 하남시 미사강변대로 212, 2층 208호.209호 (망월동, 미사센트럴프라자)",031 -796 -6796
일반음식점,기호네 곱창 미사점,"경기도 하남시 미사강변북로30번길 22, 102호 (망월동)",031 -792 -6287
일반음식점,산꼼장어,"경기도 하남시 서하남로 555-5, 1층 (교산동)",031 -792 -6676
일반음식점,연김밥,"경기도 하남시 신장로154번길 6, 1층 (덕풍동)",031 -794 -8009
일반음식점,봉메밀(홍박사백암순대국),"경기도 하남시 검단산로 213, 1층 (창우동)",031 -792 -8842
일반음식점,초심,"경기도 하남시 서하남로 278-22, 1층 (광암동)",02  -470 -9840
일반음식점,일미 양구이,"경기도 하남시 미사강변북로30번길 19, 1층 (망월동)",031 -795 -6908
일반음식점,남자피자,"경기도 하남시 미사강변북로24번길 13, 1층 103호 (망월동)",031 -794 -5571
일반음식점,르꾸꾸,"경기도 하남시 서하남로 441, 2층 (춘궁동)",070 -8266-7822
일반음식점,광평도새기촌 미사강변점,"경기도 하남시 미사강변한강로136번길 17, 1층 (망월동)",031 -791 -5577
일반음식점,쥬씨 팔팔 핫도그,"경기도 하남시 덕풍동로 111-50, 1층 (덕풍동, 102호)",031 -795 -5153
일반음식점,방이샤브샤브칼국수(하남미사점),"경기도 하남시 미사강변대로 216, 1층 101호 (망월동, 한강트윈프라자2)",031 -793 -4885
일반음식점,포로이,"경기도 하남시 조정대로 150 (덕풍동, 지하1층 RB112호, 하남아이테코)",031 -790 -0510
일반음식점,BY THE CREEK(바이 더 크릭),"경기도 하남시 미사강변북로30번안길 24, 1층 (망월동)",031 -794 -1942
일반음식점,홍,"경기도 하남시 미사강변북로 32, 1층 103호 (망월동)",031 -795 -8615
일반음식점,건강한밥상,"경기도 하남시 미사대로 456, 라파르코 3층 318,319호 (망월동)",031 -795 -8813
일반음식점,행복한 낙지,"경기도 하남시 미사강변중앙로 165, 강변 신성프라자 3층 301호 (망월동)",031 -796 -0281
일반음식점,팔미소곱창,"경기도 하남시 신장1로3번길 34, 1층 (신장동)",031 -792 -1212
일반음식점,온더보더 스타필드하남점,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8682
일반음식점,돌마리,"경기도 하남시 천현로 98, 1층 (천현동)",031 -792 -9931
일반음식점,군산아구,"경기도 하남시 미사강변한강로220번길 41, 1층 103호 (망월동)",031 -791 -8897
일반음식점,둥지 커피 호프,"경기도 하남시 신장1로9번길 39, 지하1층 (신장동)",031 -794 -7205
일반음식점,시로이 돈까스,"경기도 하남시 신평로 60, 2층 (신장동)",031 -794 -7477
일반음식점,장수설렁탕,"경기도 하남시 초이로99번길 147, 1층 (초이동)",02  -442 -5534
일반음식점,RICCO(리꼬),"경기도 하남시 미사강변북로30번길 65, 1층 (망월동)",031 -791 -1898
일반음식점,행복이 가득한 포차,"경기도 하남시 신장1로9번길 48-9, 1층 103호 (신장동)",031 -793 -8959
일반음식점,오리샘농원,"경기도 하남시 하남대로 747, 1층 136호, 137호 (신장동, 하남 두산위브파크)",070 -7755-5906
일반음식점,풍원장 미역국정찬,"경기도 하남시 미사대로 750, 스타필드 하남 지하1층 (신장동)",031 -8072-8488
일반음식점,더우개 식당,"경기도 하남시 하남대로784번안길 17, 1층 (신장동)",031 -791 -1860
일반음식점,류길상 피자,"경기도 하남시 미사강변북로30번길 130, 1층 103호 (망월동)",031 -796 -7004
일반음식점,새함지박 민속주점,"경기도 하남시 하남대로784번안길 3, 2층 (신장동)",031 -795 -2510
일반음식점,테라농업회사법인주식회사,"경기도 하남시 신장1로27번길 70, 1층 (신장동)",
일반음식점,젠틀로스터스,"경기도 하남시 덕풍북로259번길 44 (덕풍동, 1층 후면)",0507-1413-1643
일반음식점,욜로 차이나,"경기도 하남시 서하남로 85-5, 2층 (감북동)",02  -470 -5604
일반음식점,생선이야기,"경기도 하남시 하남대로 747, 1층 161호,162호 (신장동, 하남 두산위브파크)",031 -796 -9022
일반음식점,꼴통 참숯구이,"경기도 하남시 미사강변북로30번길 105, 1층 (망월동)",031 -7934-466
일반음식점,고봉민김밥인 하남미사2동점,"경기도 하남시 미사강변북로30번길 130, 1층 101호 112호 (망월동)",031 -792 -6556
일반음식점,보물섬,"경기도 하남시 미사강변한강로 155, 미사강변 SK V1 center 1층 109-2호 (망월동)",031 -795 -3590
일반음식점,먹고사는이야기,"경기도 하남시 신장1로 16, 1층 (신장동)",031 -791 -5652
일반음식점,건강한 밥상,"경기도 하남시 신장1로9번길 60, 지하1층 (신장동)",
일반음식점,가장맛있는족발,"경기도 하남시 미사강변북로30번길 154, 1층 (망월동)",031 -791 -5844
일반음식점,닥치고 곱창,"경기도 하남시 대성로299번길 28, 1층 (덕풍동)",031 -795 -0844
일반음식점,잔월 하남미사점,"경기도 하남시 미사강변중앙로 217, 2층 204호 (망월동, 미사 호수의아침)",031 -791 -5359
일반음식점,황실짜장,"경기도 하남시 신평로 66, 1층 (신장동)",031 -790 -0560
일반음식점,가나안,"경기도 하남시 덕풍북로251번길 15, 1층 (덕풍동)",031 -792 -2220
일반음식점,BROOKLYN(브루클린),"경기도 하남시 미사강변북로30번길 41, 1층 103호 (망월동)",031 -793 -4060
일반음식점,본뜰고기정,"경기도 하남시 대성로319번길 5, 2층 (덕풍동)",031 -795 -4422
일반음식점,정스시,"경기도 하남시 미사강변대로 220, 1층 103호 (망월동, 한강트윈프라자1)",031 -792 -6272
일반음식점,교촌치킨 미사1호점,"경기도 하남시 미사강변북로30번길 127, 1층 (망월동)",031 -796 -7887
일반음식점,국수나무(미사강변점),"경기도 하남시 미사강변대로226번길 26, 1층 105호 (망월동, 미사원프라자)",031 -792 -6003
일반음식점,스튜디오카페 스카,"경기도 하남시 미사동로40번길 33-12, 1층 (미사동)",031 -795 -7324
일반음식점,삼시세끼밥상,"경기도 하남시 하남대로 240, 1층 (상산곡동)",031 -793 -4405
일반음식점,오리지널시카고피자 미사강변점,"경기도 하남시 미사강변중앙로 193, 2층 208호 (망월동, 에코브리지)",031 -792 -5935
일반음식점,메밀생각 봉평막국수,"경기도 하남시 하남대로 182, 1층 (상산곡동)",031 -792 -4196
일반음식점,하남돼지집 하남스타필드점,"경기도 하남시 신장동로140번길 34, 1층 (신장동)",031 -793 -9048
일반음식점,601 HOUSE(601하우스),"경기도 하남시 신장1로15번길 8, 1층 (신장동)",031 -794 -3001
일반음식점,탈방막국수닭갈비,"경기도 하남시 하남대로776번길 49, 1층 (신장동)",031 -791 -4099
일반음식점,미사구르메,"경기도 하남시 미사강변북로30번길 114, 1층 (망월동)",031 -792 -6230
일반음식점,소박사 정육식당,"경기도 하남시 하남대로778번길 43, 1,2층 (신장동)",031 -796 -1818
일반음식점,환희포차,"경기도 하남시 수리남로 4, 1층 (덕풍동)",031 -794 -3638
일반음식점,미아리우동집,"경기도 하남시 신장로 147-1, 1층 (덕풍동)",031 -795 -6750
일반음식점,153e참치,"경기도 하남시 미사강변동로 72, 에스비비즈타워 2층 201호 (망월동)",031 -795 -9102
일반음식점,더(The)광푸드,"경기도 하남시 미사강변한강로 150, 1층 (망월동)",031 -794 -6226
일반음식점,미사리바지락칼국수,"경기도 하남시 조정대로 150, 지하 1층 RB116호 (덕풍동, 하남아이테코 )",031 -790 -4589
일반음식점,황산장어,"경기도 하남시 조정대로 40, 1층 (풍산동)",031 -791 -2323
일반음식점,자두식당,"경기도 하남시 미사강변중앙로 193, 2층 202,203,203-1호 (망월동, 에코브리지)", 031- 792-1576
일반음식점,매드해터카페,"경기도 하남시 신장로 175, 1층 (덕풍동)",031 -793 -3545
일반음식점,착한전,"경기도 하남시 하남대로761번길 13, 1층 (신장동)",031 -792 -2425
일반음식점,명품임실치즈피자 치코파닭,"경기도 하남시 신장1로21번길 6, 1층 (신장동)",031 -792 -7800
일반음식점,1977방서방 코다리한상,"경기도 하남시 미사강변북로30번안길 36, 1층 (망월동)",031 -795 -7995
일반음식점,자전거곱창,"경기도 하남시 더우개로 39 (신장동, 1층)",031 -794 -8828
일반음식점,PK부처스테이블,"경기도 하남시 미사대로 750, 지하 2층 (신장동, 스타필드하남 PK마켓내)",031 -8069-4123
일반음식점,리틀비틀,"경기도 하남시 미사강변대로226번길 9, 4층 404,405호 (망월동, 송하빌딩)",031 -8028-9762
일반음식점,한채당 정원까페,"경기도 하남시 미사동로 38-2, 1층 (미사동)",
일반음식점,뚝방불끈낙지,"경기도 하남시 신장로76번길 72, 2층 (신장동)",031 -791 -7370
일반음식점,사찌,"경기도 하남시 미사강변한강로158번길 63, 1층 (망월동)",031 -795 -0711
일반음식점,청수,"경기도 하남시 하남대로 981-3, 2층 (풍산동)",031 -791 -7872
일반음식점,삐삐커피호프,"경기도 하남시 하남대로787번길 73, 지하 1층 (신장동)",031 -795 -5578
일반음식점,Individual(인디비주얼),"경기도 하남시 미사강변북로30번길 81, 1층 (망월동)",0507-1417-3504
